Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50v-10,7200.0,7200.0,7200.0,7200.0,1008121.0,1014525.0,1013334.0,989406.0,2920.611542967161,2912.431947944559,2916.456309185194,2969.8093710555245,timelimit,timelimit,timelimit,timelimit,32017805.0,32203185.0,32166298.0,31383468.0,1.0189153896378231,1.0253879600487565,1.0241842074941936,1.0,1.0,1.0,1.0,1.0,0.987607004898756,0.9855465545702741,0.9865602962551967,1.0
a1c1s1,7200.0,7200.0,7200.0,7200.0,214910.0,222952.0,230761.0,230952.0,3913.215541844458,3189.0456953054972,2832.0842540053013,2830.329255951903,timelimit,timelimit,timelimit,timelimit,13528909.0,13506337.0,13214995.0,13225311.0,0.930539679240708,0.9653607676053899,0.9991729883265786,1.0,1.0,1.0,1.0,1.0,1.2827136294379577,1.0936515937360185,1.0004581846457903,1.0
atlanta-ip,7200.0,7200.0,7200.0,7200.0,17227.0,18291.0,20316.0,23606.0,46308.255202326,42982.48849933045,51594.94272366322,65872.31516145579,timelimit,timelimit,timelimit,timelimit,4417424.0,4406799.0,4192013.0,4514547.0,0.7297720918410574,0.7748453782936542,0.860628653732102,1.0,1.0,1.0,1.0,1.0,0.7074415636441698,0.6577084761181008,0.7864980088797369,1.0
atm20-100,7200.0,7200.0,7200.0,7200.0,86402.0,86409.0,86319.0,86496.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,26562175.0,26566960.0,26537808.0,26594247.0,0.9989132445431003,0.9989941731409545,0.9979536625971143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b2c1s1,7200.0,7200.0,7200.0,7200.0,173946.0,189818.0,169478.0,260892.0,17791.755372417883,10847.166895548224,9486.777200973058,24912.394288175303,timelimit,timelimit,timelimit,timelimit,23467955.0,21734757.0,20108164.0,20299034.0,0.6667356607331769,0.727573095380464,0.6496098002238474,1.0,1.0,1.0,1.0,1.0,0.7252033588032115,0.45720078059149033,0.40470120531310866,1.0
bab1,7200.0,7200.0,7200.0,7200.0,188594.0,195754.0,208160.0,209958.0,1650.367813894826,4325.724587837765,1589.6136028155602,3237.7140371474943,timelimit,timelimit,timelimit,timelimit,4780080.0,4930092.0,5400517.0,5030497.0,0.8982463159298526,0.9323483744367921,0.9914363825145982,1.0,1.0,1.0,1.0,1.0,0.6254239409884419,1.2567446838443674,0.6110873881803243,1.0
bab3,7200.0,7200.0,7200.0,7200.0,23.0,23.0,23.0,23.0,720271.0,720545.0,720122.0,720325.0,timelimit,timelimit,timelimit,timelimit,210345.0,210345.0,210345.0,210345.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999251377673032,1.0003049942813573,0.9997185734585659,1.0
berlin_5_8_0,7200.0,7200.0,7200.0,7200.0,1665131.0,1568805.0,1670308.0,1648659.0,1222.92352823761,1408.4036863502113,1231.8819782842954,1231.8791974618214,timelimit,timelimit,timelimit,timelimit,45487192.0,43011460.0,45620518.0,45000084.0,1.009991150383433,0.9515642713259685,1.013131278208532,1.0,1.0,1.0,1.0,1.0,0.995987386219471,1.0790923133694423,1.00000124595564,1.0
bg512142,7200.0,7200.0,7200.0,7200.0,1055506.0,1010461.0,1036719.0,1134486.0,36444.22172074673,33845.578224305034,38919.33644052961,37986.208776919426,timelimit,timelimit,timelimit,timelimit,37988177.0,39362734.0,40362826.0,36682291.0,0.9303825697276124,0.890677364022121,0.9138226474368127,1.0,1.0,1.0,1.0,1.0,0.9604478838915577,0.8937924285916787,1.0239348142044171,1.0
blp-ar98,7200.0,7200.0,7200.0,7200.0,476021.0,470233.0,476938.0,477804.0,720000.0,720002.0,720000.0,720001.0,timelimit,timelimit,timelimit,timelimit,9237884.0,9121372.0,9255244.0,9270782.0,0.9962683443420315,0.9841545905852609,0.9981875413349407,1.0,1.0,1.0,1.0,1.0,0.9999986130393717,1.0000013869606283,0.9999986130393717,1.0
blp-ic97,7200.0,7200.0,7200.0,7200.0,959400.0,977953.0,981517.0,979607.0,3661.0251904365546,4612.850204140735,4615.954586067817,4602.245170243402,timelimit,timelimit,timelimit,timelimit,23439573.0,22828778.0,22902515.0,22862310.0,0.9793723401323183,0.9983115678021901,1.0019497614859836,1.0,1.0,1.0,1.0,1.0,0.8319923617755639,1.0018929971065282,1.0024471288577719,1.0
buildingenergy,7200.0,7200.0,7200.0,7200.0,1243.0,1355.0,2899.0,1243.0,17865.079804333946,17894.44674729176,17868.390589537616,17887.251046911424,timelimit,timelimit,timelimit,timelimit,339276.0,339670.0,350578.0,339276.0,1.0,1.0901045856798068,2.332260659694288,1.0,1.0,1.0,1.0,1.0,0.9988261265484103,1.0003809818783296,0.9990014186115829,1.0
circ10-3,7200.0,7200.0,7200.0,7200.0,181.0,183.0,181.0,181.0,720002.0,720001.0,720001.0,720001.0,timelimit,timelimit,timelimit,timelimit,1528026.0,1528922.0,1528026.0,1528026.0,1.0,1.011049723756906,1.0,1.0,1.0,1.0,1.0,1.0,1.0000013869606283,1.0,1.0,1.0
co-100,7200.0,7200.0,7200.0,7200.0,18305.0,18333.0,18304.0,18418.0,55007.68868457969,54275.404366780305,54391.013763381234,54225.5555744505,timelimit,timelimit,timelimit,timelimit,1293889.0,1294521.0,1293857.0,1298742.0,0.9938646975784559,0.9953849495059182,0.9938104028667608,1.0,1.0,1.0,1.0,1.0,1.0141625213543535,1.0009026399428902,1.0029960439005032,1.0
core4872-1529,7200.0,7200.0,7200.0,7200.0,4071.0,4609.0,4566.0,4344.0,18329.55191380541,18892.785463242737,19309.367322966475,19981.26031951604,timelimit,timelimit,timelimit,timelimit,5872617.0,6165864.0,6310509.0,5965311.0,0.9371546961325967,1.0610036832412524,1.0511049723756907,1.0,1.0,1.0,1.0,1.0,0.9212769690401168,0.9481215694530589,0.9679765187449395,1.0
d10200,7200.0,7200.0,7200.0,7200.0,500508.0,499021.0,499427.0,499266.0,750.1603748113066,750.7799632075494,750.5802644724486,750.8338195107393,timelimit,timelimit,timelimit,timelimit,20578148.0,20510723.0,20531201.0,20523124.0,1.0024876518729495,0.9995092796224858,1.000322473390938,1.0,1.0,1.0,1.0,1.0,0.9996153577273136,0.9999692396259485,0.9998551804086343,1.0
d20200,7200.0,7200.0,7200.0,7200.0,162756.0,162349.0,162020.0,163536.0,1127.0948559825326,1120.5444539376954,1124.2405661114124,1120.5444539376954,timelimit,timelimit,timelimit,timelimit,22440651.0,22387069.0,22343471.0,22546574.0,0.9952304079835632,0.9927416593288328,0.990729869875746,1.0,1.0,1.0,1.0,1.0,1.0030890189699508,1.0,1.0017430015045683,1.0
dano3mip,7200.0,7200.0,7200.0,7200.0,9014.0,9010.0,9023.0,9055.0,27770.93867985172,27771.70888118489,27675.27321172989,27754.32809702304,timelimit,timelimit,timelimit,timelimit,8880897.0,8873785.0,8899131.0,8936318.0,0.995472114853672,0.9950303699613473,0.9964660408614026,1.0,1.0,1.0,1.0,1.0,1.0005776724384805,1.000604458017701,0.9972506787490772,1.0
datt256,7199.73,7199.9,7199.52,7200.0,1.0,1.0,1.0,1.0,719973.0,719990.0,719952.0,720043.0,timelimit,timelimit,timelimit,timelimit,607403.0,607870.0,608371.0,606348.0,1.0,1.0,1.0,1.0,0.9999625520110956,0.9999861303744798,0.9999334257975036,1.0,0.9999029184112459,0.9999264953685147,0.9998737939346197,1.0
dc1c,7200.0,7200.0,7200.0,7200.0,54321.0,19176.0,46419.0,54476.0,11540.813088846084,27174.165561982347,10906.215085687438,11459.415838699671,timelimit,timelimit,timelimit,timelimit,13089109.0,11944853.0,13494127.0,13124953.0,0.997154710331155,0.3520082238049783,0.852100007342683,1.0,1.0,1.0,1.0,1.0,1.0065329908881915,2.2612750009090914,0.9555997841171686,1.0
dc1l,7200.0,7200.0,7200.0,7200.0,4847.0,4210.0,4778.0,4917.0,43511.67148838125,45519.563590309466,43427.910892708576,43058.6532857155,timelimit,timelimit,timelimit,timelimit,2497042.0,2147232.0,2454484.0,2530737.0,0.9857636770388448,0.8562131380923327,0.9717307301199919,1.0,1.0,1.0,1.0,1.0,1.010282161820244,1.0558553228723364,1.0083810461613176,1.0
dg012142,7200.0,7200.0,7200.0,7200.0,422404.0,345196.0,408459.0,438319.0,175566.38888551499,161011.6500589626,111040.27560336562,187792.2211279935,timelimit,timelimit,timelimit,timelimit,21175214.0,18818746.0,20414523.0,19549105.0,0.963690827913004,0.787545144061745,0.9318760993705497,1.0,1.0,1.0,1.0,1.0,0.9352418644717893,0.858147910390467,0.5934581146084765,1.0
dolom1,7200.0,7200.0,7200.0,7200.0,9902.0,9981.0,8631.0,9996.0,549206.4443229336,549027.0696782866,571878.0844137586,548651.736125398,timelimit,timelimit,timelimit,timelimit,6659595.0,6712169.0,6586659.0,6723910.0,0.9905962384953981,0.998499399759904,0.8634453781512605,1.0,1.0,1.0,1.0,1.0,1.0010091993913197,1.0006828570314985,1.0422564812622765,1.0
ds,7200.0,7200.0,7200.0,7200.0,5493.0,7579.0,5479.0,5536.0,541837.4519946915,541869.9915775496,542146.6186784066,541298.8167827809,timelimit,timelimit,timelimit,timelimit,4141476.0,5211517.0,4132046.0,4160357.0,0.9922326589595376,1.3690390173410405,0.9897037572254336,1.0,1.0,1.0,1.0,1.0,1.0009932443059826,1.001053247355687,1.001563348230511,1.0
ds-big,7200.0,7200.0,7200.0,7200.0,56.0,57.0,57.0,71.0,510983.0924275126,454460.06351725006,503225.2778413601,498602.63723273046,timelimit,timelimit,timelimit,timelimit,740577.0,556914.0,745153.0,837895.0,0.7887323943661971,0.8028169014084507,0.8028169014084507,1.0,1.0,1.0,1.0,1.0,1.0247806041684582,0.9116446343038069,1.0092526345221757,1.0
eilA101-2,7200.0,7200.0,7200.0,7200.0,9313.0,9304.0,9228.0,8912.0,89666.86403449692,89880.00771710653,90109.98024504015,90164.3048290179,timelimit,timelimit,timelimit,timelimit,604731.0,603973.0,598979.0,583386.0,1.044995511669659,1.0439856373429084,1.0354578096947935,1.0,1.0,1.0,1.0,1.0,0.9945434696677176,0.9968814865374713,0.9994041024710314,1.0
ex1010-pi,7200.0,7200.0,7200.0,7200.0,17311.0,17490.0,17500.0,17763.0,20757.819473450465,20755.219473450466,20756.606433637284,20755.219473450466,timelimit,timelimit,timelimit,timelimit,10601345.0,10732923.0,10740008.0,10937340.0,0.9745538478860553,0.9846309744975511,0.9851939424646737,1.0,1.0,1.0,1.0,1.0,1.0001195115500063,1.0,1.0000637529852783,1.0
f2000,7200.0,7200.0,7200.0,7200.0,681.0,681.0,680.0,681.0,720001.0,720001.0,720001.0,720001.0,timelimit,timelimit,timelimit,timelimit,1992583.0,1991561.0,1987411.0,1992583.0,1.0,1.0,0.9985315712187959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiball,7200.0,7200.0,7200.0,7200.0,28520.0,28499.0,28567.0,28731.0,15840.682801444429,15984.020156609904,15825.855555208393,15812.60965914234,timelimit,timelimit,timelimit,timelimit,1004878.0,1004268.0,1007048.0,1011065.0,0.9926560161498034,0.9919250983258501,0.994291879851032,1.0,1.0,1.0,1.0,1.0,1.001669767089776,1.0101953534247645,1.0007878548502938,1.0
g200x740i,7200.0,7200.0,7200.0,7200.0,225952.0,359475.0,253754.0,438509.0,43808.55655898145,20994.055061685514,29033.916872038848,29123.359853973394,timelimit,timelimit,timelimit,timelimit,21664281.0,24701467.0,20841182.0,22018603.0,0.5152733467272052,0.8197665270268113,0.5786745540000319,1.0,1.0,1.0,1.0,1.0,1.487501951183278,0.7301328659320985,0.9970307767006027,1.0
germanrr,7200.0,7200.0,7200.0,7200.0,3502.0,3504.0,3203.0,3502.0,58915.19919309785,59013.04577419121,51677.90647930515,59019.94306294967,timelimit,timelimit,timelimit,timelimit,5572613.0,5573367.0,5531434.0,5572613.0,1.0,1.0005711022272987,0.9146202170188463,1.0,1.0,1.0,1.0,1.0,0.9982548488967747,0.9998850833838475,0.877673383062958,1.0
germany50-DBM,7200.0,7200.0,7200.0,7200.0,205463.0,186437.0,241854.0,187987.0,6482.4669180113815,6598.965122462444,4321.256784727286,5700.608978195068,timelimit,timelimit,timelimit,timelimit,19641572.0,18957619.0,20019496.0,18271392.0,1.0929638751615802,0.9917547489986009,1.2865464101241044,1.0,1.0,1.0,1.0,1.0,1.1166846091691984,1.1340708206061243,0.7941452488935811,1.0
gmu-35-40,7200.0,7200.0,7200.0,7200.0,3207497.0,4515239.0,4364573.0,4426982.0,165.4928404464111,110.02762740631503,82.7010112332938,82.20426738310314,timelimit,timelimit,timelimit,timelimit,16704365.0,22388668.0,20630944.0,20892863.0,0.7245335535586095,1.0199361551503936,0.9859025855537701,1.0,1.0,1.0,1.0,1.0,1.0769619706496902,1.0257098967928597,1.0004590111729939,1.0
gmu-35-50,7200.0,7200.0,7200.0,7200.0,1063113.0,847361.0,873136.0,1058513.0,720036.0,720005.0,720004.0,720008.0,timelimit,timelimit,timelimit,timelimit,10632538.0,8599125.0,8609203.0,10588760.0,1.0043457189472402,0.8005201636635544,0.8248703605907532,1.0,1.0,1.0,1.0,1.0,1.0000388345205602,0.9999958391585114,0.9999944522113485,1.0
gmut-75-50,7200.0,7200.0,7200.0,7200.0,174431.0,184737.0,177481.0,173315.0,3821.0381088549234,4705.734921125496,4224.893258462683,3587.148321231924,timelimit,timelimit,timelimit,timelimit,1400955.0,1428249.0,1524945.0,1362604.0,1.0064391426016213,1.0659031243689236,1.0240371577763032,1.0,1.0,1.0,1.0,1.0,1.0509880586464635,1.2438522850277414,1.1390286279340291,1.0
gmut-77-40,7200.0,7200.0,7200.0,7200.0,280823.0,324265.0,318258.0,325959.0,1355.4955519372897,1600.2319445354804,2392.0164222918293,2928.8048490904634,timelimit,timelimit,timelimit,timelimit,3044954.0,3706482.0,2963609.0,3152149.0,0.8615285971548569,0.9948030273746085,0.9763743292868121,1.0,1.0,1.0,1.0,1.0,0.599545063298982,0.6618378983973832,0.8633710638687225,1.0
go19,7200.0,7200.0,7200.0,7200.0,1266745.0,1266307.0,1241263.0,1265286.0,292.8155559086883,292.70933883170284,296.2588870972166,292.507788444106,timelimit,timelimit,timelimit,timelimit,66033855.0,66012136.0,64769570.0,65964062.0,1.0011530989831547,1.0008069321876636,0.9810137787029968,1.0,1.0,1.0,1.0,1.0,1.0002381165261316,1.0001559374646705,1.0029021864987182,1.0
hanoi5,7200.0,7200.0,7200.0,7200.0,29235.0,29705.0,29731.0,29741.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,9924793.0,10043402.0,10050512.0,10056027.0,0.9829864496822568,0.9987895497797653,0.9996637638277126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ic97_potential,7200.0,7200.0,7200.0,7200.0,4841417.0,4905494.0,4565845.0,4975714.0,784.276336799987,1107.5774128929434,384.15199369378365,1233.638029028454,timelimit,timelimit,timelimit,timelimit,48375542.0,50081953.0,48474888.0,49072278.0,0.9730095017519094,0.9858874525344503,0.9176260934611595,1.0,1.0,1.0,1.0,1.0,0.7988207192085093,0.9435626477982458,0.6196850052270269,1.0
in,7188.64,7188.55,7187.98,7188.39,1.0,1.0,1.0,1.0,470211.38072531903,470244.030725319,470156.03210208187,470191.63072531903,timelimit,timelimit,timelimit,timelimit,451169.0,448742.0,450468.0,451775.0,1.0,1.0,1.0,1.0,1.0000347299882335,1.0000222271924695,0.999943042819297,1.0,1.0000419150059385,1.0001112074081606,0.9999244497972463,1.0
ivu06-big,7200.0,7200.0,7200.0,7200.0,1.0,1.0,1.0,1.0,26050.83459015475,26050.839094168645,26050.850354203387,26150.611641466894,timelimit,timelimit,timelimit,timelimit,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963250532757887,0.9963252191657492,0.9963256338906509,1.0
ivu52,7200.0,7200.0,7200.0,7200.0,7291.0,4674.0,4938.0,5357.0,107599.3229619859,118778.32660231904,114155.57510589807,108599.4439289055,timelimit,timelimit,timelimit,timelimit,1683496.0,1542967.0,1600190.0,1687032.0,1.361022960612283,0.8725032667537801,0.9217845809221579,1.0,1.0,1.0,1.0,1.0,0.990874762397806,1.092873488299962,1.050694884734969,1.0
janos-us-DDM,7200.0,7200.0,7200.0,7200.0,1288472.0,1159649.0,1312181.0,1392729.0,279.85671967845803,288.46793103777804,282.3149871650543,279.514998092046,timelimit,timelimit,timelimit,timelimit,13002989.0,16158469.0,15048523.0,15164001.0,0.9251419335707091,0.8326451161712005,0.9421653458784874,1.0,1.0,1.0,1.0,1.0,1.0002670711847235,1.0069971301306215,1.0021883206349154,1.0
lectsched-1-obj,7200.0,7200.0,7200.0,7200.0,155912.0,155425.0,156036.0,156911.0,295659.11235748616,295108.81083822146,294530.51150909223,293653.4200497939,timelimit,timelimit,timelimit,timelimit,4993236.0,4985670.0,4994635.0,5008615.0,0.993633333545768,0.9905296633123235,0.99442359044299,1.0,1.0,1.0,1.0,1.0,1.0068069541068057,1.0049393310560644,1.0029766885419151,1.0
leo2,7200.0,7200.0,7200.0,7200.0,257839.0,201931.0,259908.0,266950.0,15383.753500052408,21447.400160105313,15996.39012937075,16900.78880235433,timelimit,timelimit,timelimit,timelimit,21689841.0,19835764.0,21991741.0,22000443.0,0.9658700131110695,0.7564375351189361,0.9736205281887994,1.0,1.0,1.0,1.0,1.0,0.9152531590059092,1.2539894419151523,0.9494771608687639,1.0
liu,7200.0,7200.0,7200.0,7200.0,1973917.0,1866684.0,1798808.0,2066641.0,88823.3838770963,119239.64179104069,117481.26337161058,154172.55023085338,timelimit,timelimit,timelimit,timelimit,32287809.0,30859547.0,30717861.0,34048339.0,0.9551329911677935,0.9032454112736561,0.8704017775704633,1.0,1.0,1.0,1.0,1.0,0.5788612982351854,0.7748770102196407,0.7635452481469408,1.0
lotsize,7200.0,7200.0,7200.0,7200.0,28544.0,28583.0,28562.0,28563.0,14444.206835428964,14346.591302089324,14447.171910308056,14443.038682569051,timelimit,timelimit,timelimit,timelimit,6865863.0,6881098.0,6875766.0,6876118.0,0.9993348037671113,1.0007002065609354,0.9999649896719532,1.0,1.0,1.0,1.0,1.0,1.0000756426817237,0.9937546371240662,1.0002676434232902,1.0
lrsa120,7200.0,7200.0,7200.0,7200.0,519698.0,519092.0,511383.0,520488.0,720001.0,720001.0,720001.0,720000.0,timelimit,timelimit,timelimit,timelimit,74349502.0,74235905.0,73136814.0,74449214.0,0.9984821936336669,0.9973179016615177,0.9825068013095403,1.0,1.0,1.0,1.0,1.0,1.000001386962552,1.000001386962552,1.000001386962552,1.0
m100n500k4r1,7200.0,7200.0,7200.0,7200.0,4830977.0,4802862.0,4828594.0,4816430.0,29184.4,29190.0,29184.4,29182.800000000003,timelimit,timelimit,timelimit,timelimit,105936938.0,105301030.0,105881391.0,105594240.0,1.00302028680994,0.997182975772512,1.0025255220152687,1.0,1.0,1.0,1.0,1.0,1.0000530103237606,1.0002385464569223,1.0000530103237606,1.0
markshare1,7200.0,7200.0,7200.0,7200.0,23890680.0,24249189.0,24286481.0,24395017.0,492444.571710326,605909.2893835341,605874.2213846094,605706.4719305506,timelimit,timelimit,timelimit,timelimit,60964815.0,61719810.0,61815599.0,62090837.0,0.9793262287950035,0.994022221833254,0.9955508946765644,1.0,1.0,1.0,1.0,1.0,0.8133168089342722,1.0003342925489787,1.0002764919476217,1.0
markshare2,7200.0,7200.0,7200.0,7200.0,5477074.0,5413993.0,5429444.0,5463376.0,685127.6264844423,686991.0952747586,685177.5638539417,685154.4587732756,timelimit,timelimit,timelimit,timelimit,19390397.0,18884598.0,19231072.0,19344993.0,1.002507240944061,0.9909610834033755,0.9937891882235453,1.0,1.0,1.0,1.0,1.0,0.9999608946812336,1.002676710000204,1.0000336732937762,1.0
markshare_5_0,7200.0,7200.0,7200.0,7200.0,38934651.0,38902173.0,39108299.0,38791634.0,397312.5242993848,397342.81739006605,397154.78504499886,397370.7393910914,timelimit,timelimit,timelimit,timelimit,82347749.0,82282707.0,82705651.0,82057193.0,1.003686800097155,1.002849557716491,1.0081632292158664,1.0,1.0,1.0,1.0,1.0,0.999853867049082,0.9999299095082435,0.9994579061041917,1.0
maxgasflow,7200.0,7200.0,7200.0,7200.0,625002.0,632641.0,633285.0,633467.0,12821.119544583515,12768.665622517716,12753.669664406338,12756.986832952622,timelimit,timelimit,timelimit,timelimit,4379663.0,4440884.0,4447160.0,4447921.0,0.9866370308161277,0.9986960646726665,0.9997126922160112,1.0,1.0,1.0,1.0,1.0,1.0046618283792548,1.0008489351416052,0.999758873902653,1.0
methanosarcina,7200.0,7200.0,7200.0,7200.0,31991.0,32135.0,31988.0,31981.0,15002.948020848842,14974.38700505174,15013.441505545628,15046.452770079002,timelimit,timelimit,timelimit,timelimit,7528192.0,7546300.0,7525503.0,7519975.0,1.000312685657109,1.0048153591194773,1.0002188799599763,1.0,1.0,1.0,1.0,1.0,0.997288824523805,0.9955089286049786,0.9979427687223853,1.0
mining,7200.0,7200.0,7200.0,7200.0,1.0,1.0,1.0,1.0,774420.0,770608.0,771961.0,772441.0,timelimit,timelimit,timelimit,timelimit,254397.0,254397.0,254397.0,254397.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0025586954919639,0.9976300713305863,0.9993793967477804,1.0
mkc,7200.0,7200.0,7200.0,7200.0,864581.0,759022.0,864642.0,864138.0,1058.4381905697853,1464.4962631640635,1059.3900462183135,1061.7589909301673,timelimit,timelimit,timelimit,timelimit,16907110.0,19106303.0,16908339.0,16893806.0,1.0005126495999481,0.8783573919906311,1.0005832401769161,1.0,1.0,1.0,1.0,1.0,0.9983893363021623,1.1953367362555798,0.998851007939204,1.0
momentum1,7200.0,7200.0,7200.0,7200.0,17793.0,13940.0,18170.0,11770.0,104674.92985035121,290800.2719840423,121614.91725894556,489699.98356118536,timelimit,timelimit,timelimit,timelimit,3682823.0,3863039.0,3692439.0,6733723.0,1.5117247238742566,1.1843670348343245,1.5437553101104502,1.0,1.0,1.0,1.0,1.0,0.21535547868461383,0.5946612630111444,0.24987756545065526,1.0
momentum3,7200.0,7200.0,7200.0,7200.0,91.0,91.0,230.0,96.0,441021.28151085554,441953.4482329599,337153.32444656716,443549.2923309533,timelimit,timelimit,timelimit,timelimit,828387.0,842649.0,568156.0,849669.0,0.9479166666666666,0.9479166666666666,2.3958333333333335,1.0,1.0,1.0,1.0,1.0,0.9943133171872969,0.9964101976416929,0.76066553311443,1.0
n15-3,7200.0,7200.0,7200.0,7200.0,58.0,45.0,56.0,71.0,148035.86852184508,160243.58910485124,157587.64356051647,187869.89723210136,timelimit,timelimit,timelimit,timelimit,405571.0,301489.0,392469.0,457550.0,0.8169014084507042,0.6338028169014085,0.7887323943661971,1.0,1.0,1.0,1.0,1.0,0.7890927601802821,0.853728367875902,0.8396660658189952,1.0
n3-3,7200.0,7200.0,7200.0,7200.0,36804.0,36382.0,23300.0,24383.0,17847.830502841724,18113.557520371724,18765.796863935375,21282.200798689377,timelimit,timelimit,timelimit,timelimit,10166327.0,10050948.0,9976710.0,9467268.0,1.5094122954517493,1.4921051552311035,0.9555838083910921,1.0,1.0,1.0,1.0,1.0,0.8458693408754462,0.857794869234639,0.8870666341494412,1.0
n3700,7200.0,7200.0,7200.0,7200.0,23885.0,26668.0,23863.0,22455.0,35055.74456791133,33778.73639406479,35046.91175375489,47682.25378417006,timelimit,timelimit,timelimit,timelimit,6087424.0,5257326.0,6081495.0,5760132.0,1.0636829213983523,1.1876196838120685,1.06270318414607,1.0,1.0,1.0,1.0,1.0,0.7406342509893312,0.7144027585134882,0.7404528129196066,1.0
n3705,7200.0,7200.0,7200.0,7200.0,34904.0,43678.0,34923.0,34443.0,48923.17688347068,40247.87384519816,48919.17180248955,48984.34708514303,timelimit,timelimit,timelimit,timelimit,6127553.0,6621869.0,6129525.0,6055779.0,1.0133844322503847,1.2681241471416542,1.0139360682867347,1.0,1.0,1.0,1.0,1.0,0.9987762128498318,0.8252158175625819,0.9986960861458797,1.0
n370a,7200.0,7200.0,7200.0,7200.0,35273.0,35218.0,34509.0,35284.0,39635.32359041831,39648.92025287155,39759.6240498933,39628.992131356354,timelimit,timelimit,timelimit,timelimit,7045534.0,7034383.0,6924114.0,7046225.0,0.9996882439632695,0.9981294637796169,0.97803537013944,1.0,1.0,1.0,1.0,1.0,1.0001558359863194,1.000490490176344,1.0032152389632163,1.0
n3seq24,7200.0,7200.0,7200.0,7200.0,100242.0,101647.0,104735.0,102291.0,42413.07872531685,41926.724414900826,41151.79663420624,41987.88264126907,timelimit,timelimit,timelimit,timelimit,4060705.0,4153334.0,4290094.0,4191881.0,0.9799689122210166,0.9937042359542873,1.0238926200741023,1.0,1.0,1.0,1.0,1.0,1.009891068317926,0.998577314754518,0.980550658564882,1.0
n9-3,7200.0,7200.0,7200.0,7200.0,63307.0,63338.0,69422.0,66104.0,9717.327219367622,2573.580559151203,8941.502824529965,6976.424335047492,timelimit,timelimit,timelimit,timelimit,13040585.0,12993669.0,14138444.0,13301882.0,0.9576878857557788,0.9581568437613458,1.0501936342732663,1.0,1.0,1.0,1.0,1.0,1.3436255105281847,0.44801785976321506,1.2463608262223644,1.0
nag,7200.0,7200.0,7200.0,7200.0,886628.0,886807.0,888935.0,865674.0,163773.85882684286,163781.4534525911,163830.30031232222,163039.53158049582,timelimit,timelimit,timelimit,timelimit,37167040.0,37181943.0,37291025.0,36364315.0,1.0242054168197265,1.0244121921185112,1.0268703923185865,1.0,1.0,1.0,1.0,1.0,1.0044765261109436,1.0045228236446846,1.0048205985728407,1.0
neos-1056905,7200.0,7200.0,7200.0,7200.0,12183650.0,5373055.0,10908296.0,5533961.0,52522.80214689231,88184.58967217323,65359.666804085646,69906.24807925805,timelimit,timelimit,timelimit,timelimit,46504560.0,36334950.0,41834659.0,35979013.0,2.2016147204506864,0.9709239006201887,1.9711551996842769,1.0,1.0,1.0,1.0,1.0,0.7548390106195613,1.2577818187825127,0.9358789754311878,1.0
neos-1067731,7200.0,7200.0,7200.0,7200.0,223130.0,223589.0,223932.0,223673.0,1001.5475627596479,1001.6393361969317,1001.4623055877373,1001.4849487552933,timelimit,timelimit,timelimit,timelimit,9302186.0,9322121.0,9337743.0,9326110.0,0.9975723489200753,0.9996244517666415,1.0011579403861888,1.0,1.0,1.0,1.0,1.0,1.000031283774776,1.0000771364489822,0.9999886868159713,1.0
neos-1121679,7200.0,7200.0,7200.0,7200.0,23693732.0,24293479.0,24327205.0,24164182.0,203014.68497554166,263380.9743405273,263262.3144489284,264242.264058168,timelimit,timelimit,timelimit,timelimit,60472053.0,61833487.0,61918896.0,61502060.0,0.980531101777002,1.0053507708226994,1.006746472940818,1.0,1.0,1.0,1.0,1.0,0.7691635633558043,0.9967528187082139,0.9963054545145011,1.0
